Item,Produto,Status,Divergências,Detalhes
1,206916,DIVERGENTE,Divergência de cadastro em CST; Divergência de valor em Base de Cálculo (Dif: 476.87); Divergência de valor em Valor ICMS (Dif: 31.69); Divergência de valor em MVA % (Dif: 40.56),CST: XML=30 | SEFAZ=530 || Base de Cálculo: XML=0.00 | SEFAZ=476.87 || Valor ICMS: XML=0.00 | SEFAZ=31.69 || MVA %: XML=40.56 | SEFAZ=0.00
2,201830,DIVERGENTE,Divergência de cadastro em CST; Divergência de valor em Base de Cálculo (Dif: 283.83); Divergência de valor em Valor ICMS (Dif: 18.86); Divergência de valor em MVA % (Dif: 40.56),CST: XML=30 | SEFAZ=530 || Base de Cálculo: XML=0.00 | SEFAZ=283.83 || Valor ICMS: XML=0.00 | SEFAZ=18.86 || MVA %: XML=40.56 | SEFAZ=0.00
3,205879,DIVERGENTE,Divergência de cadastro em CST; Divergência de valor em Base de Cálculo (Dif: 141.91); Divergência de valor em Valor ICMS (Dif: 9.43); Divergência de valor em MVA % (Dif: 40.56),CST: XML=30 | SEFAZ=530 || Base de Cálculo: XML=0.00 | SEFAZ=141.91 || Valor ICMS: XML=0.00 | SEFAZ=9.43 || MVA %: XML=40.56 | SEFAZ=0.00
4,204834,DIVERGENTE,Divergência de cadastro em CST; Divergência de valor em Base de Cálculo (Dif: 244.84); Divergência de valor em Valor ICMS (Dif: 16.27); Divergência de valor em MVA % (Dif: 40.56),CST: XML=30 | SEFAZ=530 || Base de Cálculo: XML=0.00 | SEFAZ=244.84 || Valor ICMS: XML=0.00 | SEFAZ=16.27 || MVA %: XML=40.56 | SEFAZ=0.00
5,204033,DIVERGENTE,Divergência de cadastro em CST; Divergência de valor em Base de Cálculo (Dif: 244.67); Divergência de valor em Valor ICMS (Dif: 16.26); Divergência de valor em MVA % (Dif: 40.56),CST: XML=30 | SEFAZ=530 || Base de Cálculo: XML=0.00 | SEFAZ=244.67 || Valor ICMS: XML=0.00 | SEFAZ=16.26 || MVA %: XML=40.56 | SEFAZ=0.00
6,204031,DIVERGENTE,Divergência de cadastro em CST; Divergência de valor em Base de Cálculo (Dif: 339.29); Divergência de valor em Valor ICMS (Dif: 22.55); Divergência de valor em MVA % (Dif: 40.56),CST: XML=30 | SEFAZ=530 || Base de Cálculo: XML=0.00 | SEFAZ=339.29 || Valor ICMS: XML=0.00 | SEFAZ=22.55 || MVA %: XML=40.56 | SEFAZ=0.00
7,206463,DIVERGENTE,Divergência de cadastro em CST; Divergência de valor em Base de Cálculo (Dif: 248.00); Divergência de valor em Valor ICMS (Dif: 16.48); Divergência de valor em MVA % (Dif: 40.56),CST: XML=30 | SEFAZ=530 || Base de Cálculo: XML=0.00 | SEFAZ=248.00 || Valor ICMS: XML=0.00 | SEFAZ=16.48 || MVA %: XML=40.56 | SEFAZ=0.00
8,204294,DIVERGENTE,Divergência de cadastro em CST; Divergência de valor em Base de Cálculo (Dif: 589.63); Divergência de valor em Valor ICMS (Dif: 39.18); Divergência de valor em MVA % (Dif: 40.56),CST: XML=30 | SEFAZ=530 || Base de Cálculo: XML=0.00 | SEFAZ=589.63 || Valor ICMS: XML=0.00 | SEFAZ=39.18 || MVA %: XML=40.56 | SEFAZ=0.00
9,204504,DIVERGENTE,Divergência de cadastro em CST; Divergência de valor em Base de Cálculo (Dif: 7072.44); Divergência de valor em Valor ICMS (Dif: 469.97); Divergência de valor em MVA % (Dif: 40.56),CST: XML=30 | SEFAZ=530 || Base de Cálculo: XML=0.00 | SEFAZ=7072.44 || Valor ICMS: XML=0.00 | SEFAZ=469.97 || MVA %: XML=40.56 | SEFAZ=0.00
10,207153,DIVERGENTE,Divergência de cadastro em CST; Divergência de valor em Base de Cálculo (Dif: 884.10); Divergência de valor em Valor ICMS (Dif: 58.75); Divergência de valor em MVA % (Dif: 40.56),CST: XML=30 | SEFAZ=530 || Base de Cálculo: XML=0.00 | SEFAZ=884.10 || Valor ICMS: XML=0.00 | SEFAZ=58.75 || MVA %: XML=40.56 | SEFAZ=0.00
11,207154,DIVERGENTE,Divergência de cadastro em CST; Divergência de valor em Base de Cálculo (Dif: 913.80); Divergência de valor em Valor ICMS (Dif: 60.72); Divergência de valor em MVA % (Dif: 40.56),CST: XML=30 | SEFAZ=530 || Base de Cálculo: XML=0.00 | SEFAZ=913.80 || Valor ICMS: XML=0.00 | SEFAZ=60.72 || MVA %: XML=40.56 | SEFAZ=0.00
12,200083,DIVERGENTE,Divergência de cadastro em CST; Divergência de valor em Base de Cálculo (Dif: 449.48); Divergência de valor em Valor ICMS (Dif: 29.87); Divergência de valor em MVA % (Dif: 40.56),CST: XML=30 | SEFAZ=530 || Base de Cálculo: XML=0.00 | SEFAZ=449.48 || Valor ICMS: XML=0.00 | SEFAZ=29.87 || MVA %: XML=40.56 | SEFAZ=0.00
13,201858,DIVERGENTE,Divergência de cadastro em CST; Divergência de valor em Base de Cálculo (Dif: 311.61); Divergência de valor em Valor ICMS (Dif: 20.71); Divergência de valor em MVA % (Dif: 40.56),CST: XML=30 | SEFAZ=530 || Base de Cálculo: XML=0.00 | SEFAZ=311.61 || Valor ICMS: XML=0.00 | SEFAZ=20.71 || MVA %: XML=40.56 | SEFAZ=0.00
14,203984,DIVERGENTE,Divergência de cadastro em CST; Divergência de valor em Base de Cálculo (Dif: 465.10); Divergência de valor em Valor ICMS (Dif: 30.91); Divergência de valor em MVA % (Dif: 40.56),CST: XML=30 | SEFAZ=530 || Base de Cálculo: XML=0.00 | SEFAZ=465.10 || Valor ICMS: XML=0.00 | SEFAZ=30.91 || MVA %: XML=40.56 | SEFAZ=0.00
